ID,Dataset,Model,BoxInclusion,MaskInclusion,NumberOfPOIs,POIPlacementAlgorithm,PerimeterBuffer,BoundingBoxDistortion,MaskDistortion
279,powder,YOLOv8 Nano,True,True,3,Distance Max,10%,110%,110%
280,powder,YOLOv8 Nano,True,True,3,Distance Max,15%,90%,90%
281,powder,YOLOv8 Nano,True,True,3,Distance Max,15%,90%,100%
282,powder,YOLOv8 Nano,True,True,3,Distance Max,15%,90%,110%
283,powder,YOLOv8 Nano,True,True,3,Distance Max,15%,100%,90%
284,powder,YOLOv8 Nano,True,True,3,Distance Max,15%,100%,100%
285,powder,YOLOv8 Nano,True,True,3,Distance Max,15%,100%,110%
286,powder,YOLOv8 Nano,True,True,3,Distance Max,15%,110%,90%
287,powder,YOLOv8 Nano,True,True,3,Distance Max,15%,110%,100%
288,powder,YOLOv8 Nano,True,True,3,Distance Max,15%,110%,110%
289,powder,YOLOv8 Nano,True,True,3,Voronoi,0%,90%,90%
290,powder,YOLOv8 Nano,True,True,3,Voronoi,0%,90%,100%
291,powder,YOLOv8 Nano,True,True,3,Voronoi,0%,90%,110%
292,powder,YOLOv8 Nano,True,True,3,Voronoi,0%,100%,90%
293,powder,YOLOv8 Nano,True,True,3,Voronoi,0%,100%,100%
294,powder,YOLOv8 Nano,True,True,3,Voronoi,0%,100%,110%
295,powder,YOLOv8 Nano,True,True,3,Voronoi,0%,110%,90%
296,powder,YOLOv8 Nano,True,True,3,Voronoi,0%,110%,100%
297,powder,YOLOv8 Nano,True,True,3,Voronoi,0%,110%,110%
298,powder,YOLOv8 Nano,True,True,3,Voronoi,5%,90%,90%
299,powder,YOLOv8 Nano,True,True,3,Voronoi,5%,90%,100%
300,powder,YOLOv8 Nano,True,True,3,Voronoi,5%,90%,110%
301,powder,YOLOv8 Nano,True,True,3,Voronoi,5%,100%,90%
302,powder,YOLOv8 Nano,True,True,3,Voronoi,5%,100%,100%
303,powder,YOLOv8 Nano,True,True,3,Voronoi,5%,100%,110%
304,powder,YOLOv8 Nano,True,True,3,Voronoi,5%,110%,90%
305,powder,YOLOv8 Nano,True,True,3,Voronoi,5%,110%,100%
306,powder,YOLOv8 Nano,True,True,3,Voronoi,5%,110%,110%
307,powder,YOLOv8 Nano,True,True,3,Voronoi,10%,90%,90%
308,powder,YOLOv8 Nano,True,True,3,Voronoi,10%,90%,100%
309,powder,YOLOv8 Nano,True,True,3,Voronoi,10%,90%,110%
310,powder,YOLOv8 Nano,True,True,3,Voronoi,10%,100%,90%
311,powder,YOLOv8 Nano,True,True,3,Voronoi,10%,100%,100%
312,powder,YOLOv8 Nano,True,True,3,Voronoi,10%,100%,110%
313,powder,YOLOv8 Nano,True,True,3,Voronoi,10%,110%,90%
314,powder,YOLOv8 Nano,True,True,3,Voronoi,10%,110%,100%
315,powder,YOLOv8 Nano,True,True,3,Voronoi,10%,110%,110%
316,powder,YOLOv8 Nano,True,True,3,Voronoi,15%,90%,90%
317,powder,YOLOv8 Nano,True,True,3,Voronoi,15%,90%,100%
318,powder,YOLOv8 Nano,True,True,3,Voronoi,15%,90%,110%
319,powder,YOLOv8 Nano,True,True,3,Voronoi,15%,100%,90%
320,powder,YOLOv8 Nano,True,True,3,Voronoi,15%,100%,100%
321,powder,YOLOv8 Nano,True,True,3,Voronoi,15%,100%,110%
322,powder,YOLOv8 Nano,True,True,3,Voronoi,15%,110%,90%
323,powder,YOLOv8 Nano,True,True,3,Voronoi,15%,110%,100%
324,powder,YOLOv8 Nano,True,True,3,Voronoi,15%,110%,110%
325,powder,YOLOv8 Nano,True,True,4,Random,0%,90%,90%
326,powder,YOLOv8 Nano,True,True,4,Random,0%,90%,100%
327,powder,YOLOv8 Nano,True,True,4,Random,0%,90%,110%
328,powder,YOLOv8 Nano,True,True,4,Random,0%,100%,90%
329,powder,YOLOv8 Nano,True,True,4,Random,0%,100%,100%
330,powder,YOLOv8 Nano,True,True,4,Random,0%,100%,110%
331,powder,YOLOv8 Nano,True,True,4,Random,0%,110%,90%
332,powder,YOLOv8 Nano,True,True,4,Random,0%,110%,100%
333,powder,YOLOv8 Nano,True,True,4,Random,0%,110%,110%
334,powder,YOLOv8 Nano,True,True,4,Random,5%,90%,90%
335,powder,YOLOv8 Nano,True,True,4,Random,5%,90%,100%
336,powder,YOLOv8 Nano,True,True,4,Random,5%,90%,110%
337,powder,YOLOv8 Nano,True,True,4,Random,5%,100%,90%
338,powder,YOLOv8 Nano,True,True,4,Random,5%,100%,100%
339,powder,YOLOv8 Nano,True,True,4,Random,5%,100%,110%
340,powder,YOLOv8 Nano,True,True,4,Random,5%,110%,90%
341,powder,YOLOv8 Nano,True,True,4,Random,5%,110%,100%
342,powder,YOLOv8 Nano,True,True,4,Random,5%,110%,110%
343,powder,YOLOv8 Nano,True,True,4,Random,10%,90%,90%
344,powder,YOLOv8 Nano,True,True,4,Random,10%,90%,100%
345,powder,YOLOv8 Nano,True,True,4,Random,10%,90%,110%
346,powder,YOLOv8 Nano,True,True,4,Random,10%,100%,90%
347,powder,YOLOv8 Nano,True,True,4,Random,10%,100%,100%
348,powder,YOLOv8 Nano,True,True,4,Random,10%,100%,110%
349,powder,YOLOv8 Nano,True,True,4,Random,10%,110%,90%
350,powder,YOLOv8 Nano,True,True,4,Random,10%,110%,100%
351,powder,YOLOv8 Nano,True,True,4,Random,10%,110%,110%
352,powder,YOLOv8 Nano,True,True,4,Random,15%,90%,90%
353,powder,YOLOv8 Nano,True,True,4,Random,15%,90%,100%
354,powder,YOLOv8 Nano,True,True,4,Random,15%,90%,110%
355,powder,YOLOv8 Nano,True,True,4,Random,15%,100%,90%
356,powder,YOLOv8 Nano,True,True,4,Random,15%,100%,100%
357,powder,YOLOv8 Nano,True,True,4,Random,15%,100%,110%
358,powder,YOLOv8 Nano,True,True,4,Random,15%,110%,90%
359,powder,YOLOv8 Nano,True,True,4,Random,15%,110%,100%
360,powder,YOLOv8 Nano,True,True,4,Random,15%,110%,110%
361,powder,YOLOv8 Nano,True,True,4,Distance Max,0%,90%,90%
362,powder,YOLOv8 Nano,True,True,4,Distance Max,0%,90%,100%
363,powder,YOLOv8 Nano,True,True,4,Distance Max,0%,90%,110%
