ID,Dataset,Model,BoxInclusion,MaskInclusion,NumberOfPOIs,POIPlacementAlgorithm,PerimeterBuffer,BoundingBoxDistortion,MaskDistortion,avg_sam_mask_AP_50_95
278,powder,YOLOv8 Nano,True,True,3,Distance Max,10%,110%,100%,0.5550960621076408
279,powder,YOLOv8 Nano,True,True,3,Distance Max,10%,110%,110%,0.6119544545560875
280,powder,YOLOv8 Nano,True,True,3,Distance Max,15%,90%,90%,0.5693284044941745
281,powder,YOLOv8 Nano,True,True,3,Distance Max,15%,90%,100%,0.590333481646743
282,powder,YOLOv8 Nano,True,True,3,Distance Max,15%,90%,110%,0.6166858180569761
283,powder,YOLOv8 Nano,True,True,3,Distance Max,15%,100%,90%,0.5460670714254512
284,powder,YOLOv8 Nano,True,True,3,Distance Max,15%,100%,100%,0.5498276739954188
285,powder,YOLOv8 Nano,True,True,3,Distance Max,15%,100%,110%,0.524791168716377
286,powder,YOLOv8 Nano,True,True,3,Distance Max,15%,110%,90%,0.5094044556889082
287,powder,YOLOv8 Nano,True,True,3,Distance Max,15%,110%,100%,0.5117080357624055
288,powder,YOLOv8 Nano,True,True,3,Distance Max,15%,110%,110%,0.4991478603123201
289,powder,YOLOv8 Nano,True,True,3,Voronoi,0%,90%,90%,0.6816714392165315
290,powder,YOLOv8 Nano,True,True,3,Voronoi,0%,90%,100%,0.6819348017972205
291,powder,YOLOv8 Nano,True,True,3,Voronoi,0%,90%,110%,0.6869970327613083
292,powder,YOLOv8 Nano,True,True,3,Voronoi,0%,100%,90%,0.656590754868772
293,powder,YOLOv8 Nano,True,True,3,Voronoi,0%,100%,100%,0.6409545663219249
294,powder,YOLOv8 Nano,True,True,3,Voronoi,0%,100%,110%,0.6387502641947104
295,powder,YOLOv8 Nano,True,True,3,Voronoi,0%,110%,90%,0.6332840218626311
296,powder,YOLOv8 Nano,True,True,3,Voronoi,0%,110%,100%,0.6730717087346109
297,powder,YOLOv8 Nano,True,True,3,Voronoi,0%,110%,110%,0.6504014822343531
298,powder,YOLOv8 Nano,True,True,3,Voronoi,5%,90%,90%,0.6431043325023609
299,powder,YOLOv8 Nano,True,True,3,Voronoi,5%,90%,100%,0.7196017028603812
